Negative perturb,
t, y
2.254524231,3.041931427
8.232818604,3.042162632
13.2769928,3.042470903
18.88166046,3.04293332
23.36537679,3.043010401
28.03592428,3.04347281
33.26694743,3.043858147
38.68474833,3.044320571
44.289416,3.044937128
49.52042135,3.045630742
55.31188456,3.045784889
59.79561869,3.046709716
65.2134552,3.047249199
70.81810506,3.048096967
76.60958608,3.049021802
81.58365631,3.049914999
87.53172302,3.050966616
93.19657898,3.05178454
98.29494222,3.05283615
103.9597982,3.053770906
109.6246185,3.054939363
114.7229818,3.055874134
120.6710663,3.05669205
126.0526581,3.057860507
131.1510213,3.05902895
136.5326487,3.060197408
142.4806976,3.06159956
147.862325,3.062884857
152.6774241,3.063936475
158.9087372,3.065221765
165.7065786,3.066974444
170.8049062,3.068493436
175.9033051,3.069895588
181.0016327,3.071064031
186.0999959,3.073400946
192.0480804,3.075036786
196.8632151,3.07643893
202.2448069,3.078191617
207.9096273,3.079593761
213.5744832,3.081696975
219.5116374,3.083473705
224.5888875,3.085428573
227.6351878,3.087243799
233.3333333,3.088930487
237.6110992,3.090374337
241.5,3.091978613
245.7777659,3.093903746
250.4444326,3.095668454
255.5,3.09727273
259.7777659,3.099358289
264.4444326,3.101764706
269.1110992,3.103689839
274.1666667,3.105454547
280,3.108181822
278.8333333,3.107219256
284.2777659,3.110267381
288.9444326,3.112513373
292.8333333,3.113957223
296.7222341,3.11524064
300.2222341,3.117486632
305.2777659,3.120053478
308.3889008,3.121818182
312.2777659,3.123422462
315,3.124545457
319.2777659,3.126310162
