Positive perturbation,
x, y
1.594170824,3.241648326
5.985297912,3.24196662
10.77563454,3.242348575
15.76557593,3.242603213
20.55589477,3.243048826
26.14461491,3.243621761
31.53374805,3.244194692
36.32410246,3.244640306
41.11445687,3.24534056
46.50359002,3.246104468
50.69509455,3.246741061
54.68704767,3.24744131
59.27781509,3.24833254
63.86854694,3.249223768
68.45929658,3.250369636
73.44920241,3.25145184
78.43916158,3.25227941
83.22948043,3.252661368
87.82023006,3.253297958
93.20936321,3.253616254
98.59849636,3.253870892
103.58842,3.253870892
109.5763496,3.253616254
114.5662733,3.253170637
118.7578134,3.252597706
123.9473595,3.251897457
127.3404805,3.251133547
131.5320562,3.250305975
135.9231833,3.249351088
140.5139329,3.248205223
145.5038565,3.24693204
149.6954322,3.246104468
154.0865593,3.245149581
158.2780994,3.244131033
162.6692265,3.243048826
166.4615926,3.242030278
170.8527197,3.240948077
175.0442598,3.239802209
178.8366259,3.238656343
183.42734,3.237637795
187.4192931,3.236300953
192.574982,3.235244886
197.1813444,3.234239686
201.3028228,3.233002513
205.6667076,3.231842676
210.5154764,3.230760152
214.6369192,3.229600309
219.0008396,3.228672438
221.4251885,3.227976528
226.7588413,3.226584713
230.1529581,3.225502195
233.8283176,3.224111492
238.2197292,3.222910991
241.9837861,3.222010609
245.7478786,3.220810102
249.5119,3.219709639
253.5896698,3.218509138
258.6084005,3.217208588
262.9998477,3.216008087
266.7639402,3.214907624
270.5279971,3.213907199
275.233086,3.21250661
279.9381394,3.210705847
284.3296221,3.209305259
289.6619946,3.208004714
294.9944738,3.206804213
300.6405592,3.205303581
304.4045806,3.203902987
309.1097051,3.202302317
313.5011522,3.20110181
317.2652092,3.199801266
321.0293016,3.198500715
